"PixelID","mpa_status","Site_ID_12","Estab_Yr_1","AreaMar_12","region"
1122,"Full","CA143",2003,24.9011955261,"South_Coast"
1123,"Full","CA143",2003,24.9011955261,"South_Coast"
1124,"Full","CA143",2003,24.9011955261,"South_Coast"
1548,"Full","CA144",2003,33.1255378723,"South_Coast"
1561,"Full","CA144",2003,33.1255378723,"South_Coast"
1562,"Full","CA144",2003,33.1255378723,"South_Coast"
1572,"Full","CA144",2003,33.1255378723,"South_Coast"
1296,"Full","CA145",2003,29.8751678467,"South_Coast"
1297,"Full","CA145",2003,29.8751678467,"South_Coast"
421,"Full","CA203",2007,0.439699530602,"Central_Coast"
452,"Full","CA210",2007,0.733090758324,"Central_Coast"
444,"Full","CA212",2007,3.89840507507,"Central_Coast"
449,"Full","CA212",2007,3.89840507507,"Central_Coast"
456,"Full","CA212",2007,3.89840507507,"Central_Coast"
457,"Full","CA212",2007,3.89840507507,"Central_Coast"
478,"Full","CA213",2007,1.368699193,"Central_Coast"
479,"Full","CA213",2007,1.368699193,"Central_Coast"
487,"Full","CA215",1973,14.0525064468,"Central_Coast"
488,"Full","CA215",1973,14.0525064468,"Central_Coast"
489,"Full","CA215",1973,14.0525064468,"Central_Coast"
491,"Full","CA215",1973,14.0525064468,"Central_Coast"
492,"Full","CA215",1973,14.0525064468,"Central_Coast"
494,"Full","CA215",1973,14.0525064468,"Central_Coast"
495,"Full","CA215",1973,14.0525064468,"Central_Coast"
496,"Full","CA215",1973,14.0525064468,"Central_Coast"
497,"Full","CA215",1973,14.0525064468,"Central_Coast"
532,"Full","CA217",2007,25.3599071503,"Central_Coast"
535,"Full","CA217",2007,25.3599071503,"Central_Coast"
536,"Full","CA217",2007,25.3599071503,"Central_Coast"
537,"Full","CA217",2007,25.3599071503,"Central_Coast"
540,"Full","CA217",2007,25.3599071503,"Central_Coast"
541,"Full","CA217",2007,25.3599071503,"Central_Coast"
542,"Full","CA217",2007,25.3599071503,"Central_Coast"
544,"Full","CA217",2007,25.3599071503,"Central_Coast"
545,"Full","CA217",2007,25.3599071503,"Central_Coast"
546,"Full","CA217",2007,25.3599071503,"Central_Coast"
547,"Full","CA217",2007,25.3599071503,"Central_Coast"
548,"Full","CA217",2007,25.3599071503,"Central_Coast"
551,"Full","CA217",2007,25.3599071503,"Central_Coast"
552,"Full","CA217",2007,25.3599071503,"Central_Coast"
553,"Full","CA217",2007,25.3599071503,"Central_Coast"
554,"Full","CA217",2007,25.3599071503,"Central_Coast"
555,"Full","CA217",2007,25.3599071503,"Central_Coast"
596,"Full","CA219",1994,37.6699104309,"Central_Coast"
597,"Full","CA219",1994,37.6699104309,"Central_Coast"
599,"Full","CA219",1994,37.6699104309,"Central_Coast"
600,"Full","CA219",1994,37.6699104309,"Central_Coast"
602,"Full","CA219",1994,37.6699104309,"Central_Coast"
604,"Full","CA219",1994,37.6699104309,"Central_Coast"
605,"Full","CA219",1994,37.6699104309,"Central_Coast"
606,"Full","CA219",1994,37.6699104309,"Central_Coast"
